data_compra;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;hora_compra;quantidade;valor_total;forma_pagamento
2025-09-24;664;Porto Alegre;Mariana Lima;Tablet;Joshua Eliason;Feminino;07:22:43;5;6000,0;Pix
2025-09-24;1161;Belo Horizonte;Ana Paula;Fone de Ouvido;Danielle Espinoza;Masculino;06:16:46;4;1000,0;Cartão de Crédito
2025-09-24;1885;Rio de Janeiro;Carla Souza;Notebook;Kenneth Richardson;Masculino;03:33:51;5;17500,0;Dinheiro
2025-09-25;1099;Belo Horizonte;Fernando Alves;Tablet;Wayne Landry;Masculino;08:02:46;4;4800,0;Pix
2025-09-25;1179;Rio de Janeiro;Bruno Costa;Tablet;Esther Woodard;Feminino;08:09:47;2;2400,0;Dinheiro
2025-09-25;1453;Salvador;Juliana Santos;Notebook;Charles Lloyd;Feminino;13:03:49;4;14000,0;Pix
2025-09-25;1836;Rio de Janeiro;Carla Souza;Smartphone;Barbara Mendoza;Feminino;22:55:51;2;3000,0;Boleto
2025-09-25;1853;São Paulo;Aline Maria;Notebook;Josephine Scott;Feminino;16:11:51;4;14000,0;Pix
2025-09-26;96;São Paulo;Lucas Silva;Smartphone;Vickie Cotton;Feminino;05:20:39;1;1500,0;Boleto
2025-09-26;372;Salvador;Thiago Pereira;Fone de Ouvido;Elizabeth Miles;Feminino;07:01:41;1;250,0;Cartão de Crédito
2025-09-26;1141;Rio de Janeiro;Carla Souza;Smartphone;Joesph Mays;Masculino;22:57:46;1;1500,0;Cartão de Crédito
2025-09-26;1192;Belo Horizonte;Fernando Alves;Tablet;Jeanette Love;Masculino;12:51:47;4;4800,0;Cartão de Crédito
2025-09-26;1549;Belo Horizonte;Fernando Alves;Tablet;Janice Richards;Feminino;12:50:49;4;4800,0;Boleto
2025-09-27;488;Rio de Janeiro;Carla Souza;Tablet;Sandra Baker;Feminino;13:18:42;2;2400,0;Dinheiro
2025-09-27;1113;Belo Horizonte;Fernando Alves;Notebook;Karen Canon;Feminino;21:29:46;1;3500,0;Pix
2025-09-27;1637;Porto Alegre;Rafael Oliveira;Smartphone;Tammy Her;Masculino;23:17:50;3;4500,0;Boleto
2025-09-27;1719;Salvador;Thiago Pereira;Fone de Ouvido;James Roughton;Masculino;05:17:50;5;1250,0;Boleto
2025-09-27;1828;Porto Alegre;Rafael Oliveira;Smartwatch;Bonnie Sanges;Feminino;00:31:51;2;1600,0;Pix
2025-09-27;1956;Porto Alegre;Rafael Oliveira;Smartwatch;Dana King;Feminino;09:08:51;1;800,0;Pix
2025-09-28;267;Porto Alegre;Rafael Oliveira;Tablet;Laura Irving;Masculino;19:34:40;3;3600,0;Cartão de Crédito
2025-09-28;289;Porto Alegre;Mariana Lima;Smartphone;Virginia Pritchard;Feminino;22:38:41;5;7500,0;Cartão de Crédito
2025-09-29;205;Rio de Janeiro;Bruno Costa;Fone de Ouvido;Gertrude Farabaugh;Feminino;23:06:40;4;1000,0;Cartão de Crédito
2025-09-29;592;São Paulo;Lucas Silva;Tablet;Tracey Mcallen;Feminino;18:27:42;1;1200,0;Boleto
2025-09-29;606;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Norma Remmers;Masculino;05:15:42;4;1000,0;Dinheiro
2025-09-29;872;Porto Alegre;Mariana Lima;Fone de Ouvido;Sue Miller;Masculino;01:13:44;2;500,0;Cartão de Crédito
2025-09-29;889;Salvador;Thiago Pereira;Smartwatch;Robert Thompson;Feminino;21:36:44;4;3200,0;Boleto
2025-09-29;1791;Porto Alegre;Mariana Lima;Smartphone;Irene Ness;Masculino;05:41:51;5;7500,0;Dinheiro
2025-09-29;1878;Belo Horizonte;Ana Paula;Fone de Ouvido;Julio Ammons;Feminino;22:23:51;1;250,0;Pix
2025-09-29;1932;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Deanne Bonner;Feminino;00:55:51;2;500,0;Boleto
2025-09-30;336;Porto Alegre;Rafael Oliveira;Tablet;Sylvia Sutton;Feminino;13:58:41;2;2400,0;Boleto
2025-09-30;577;Salvador;Thiago Pereira;Fone de Ouvido;Joseph Hester;Masculino;00:41:42;5;1250,0;Dinheiro
2025-09-30;1008;Salvador;Thiago Pereira;Fone de Ouvido;Michael Lewis;Masculino;09:40:45;3;750,0;Cartão de Crédito
2025-09-30;1139;Belo Horizonte;Ana Paula;Tablet;Nancy Larish;Feminino;05:22:46;5;6000,0;Dinheiro
2025-09-30;1422;Belo Horizonte;Ana Paula;Smartphone;Crystal Moua;Feminino;12:02:48;1;1500,0;Pix
2025-09-30;1604;Porto Alegre;Rafael Oliveira;Smartphone;Julie Schneider;Masculino;13:33:50;1;1500,0;Cartão de Crédito
2025-10-01;900;Porto Alegre;Rafael Oliveira;Smartwatch;Linda Forbes;Feminino;10:27:44;1;800,0;Dinheiro
2025-10-01;1330;Porto Alegre;Mariana Lima;Smartwatch;Donald Cardenas;Feminino;15:09:48;3;2400,0;Boleto
2025-10-01;1351;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Martha Sanders;Feminino;16:35:48;4;1000,0;Pix
2025-10-01;1472;Porto Alegre;Rafael Oliveira;Notebook;Pedro Jordan;Feminino;16:06:49;4;14000,0;Boleto
2025-10-01;1701;Rio de Janeiro;Carla Souza;Notebook;Francis Lester;Masculino;10:59:50;2;7000,0;Dinheiro
2025-10-01;1785;Porto Alegre;Rafael Oliveira;Smartphone;Twila Lee;Feminino;18:44:51;5;7500,0;Pix
2025-10-01;1802;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Robert Frasher;Feminino;01:26:51;4;1000,0;Cartão de Crédito
2025-10-02;798;Rio de Janeiro;Carla Souza;Smartwatch;Marlon Keim;Masculino;03:55:44;5;4000,0;Cartão de Crédito
2025-10-02;1430;Rio de Janeiro;Carla Souza;Smartwatch;Adrienne Fisher;Feminino;11:59:48;1;800,0;Cartão de Crédito
2025-10-02;1499;Salvador;Juliana Santos;Smartphone;Blake Utley;Masculino;09:36:49;4;6000,0;Boleto
2025-10-02;1874;Salvador;Juliana Santos;Smartwatch;Cindy Hamlin;Masculino;02:27:51;4;3200,0;Boleto
2025-10-02;1999;Porto Alegre;Rafael Oliveira;Notebook;Christopher Biasi;Feminino;19:24:52;2;7000,0;Pix
2025-10-03;106;São Paulo;Lucas Silva;Smartwatch;Allison Choi;Masculino;17:41:39;1;800,0;Cartão de Crédito
2025-10-03;506;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Paul Burkhart;Masculino;00:07:42;2;500,0;Cartão de Crédito
2025-10-03;1479;Rio de Janeiro;Carla Souza;Notebook;Katherine Richardson;Masculino;17:53:49;1;3500,0;Boleto
2025-10-03;1488;Belo Horizonte;Fernando Alves;Fone de Ouvido;Jenifer Harkins;Feminino;14:42:49;1;250,0;Dinheiro
2025-10-03;1509;Rio de Janeiro;Bruno Costa;Notebook;Carla Thomas;Feminino;11:10:49;1;3500,0;Boleto
2025-10-03;1708;Belo Horizonte;Fernando Alves;Tablet;Chase Pereyda;Feminino;02:19:50;3;3600,0;Cartão de Crédito
2025-10-04;20;Belo Horizonte;Fernando Alves;Smartphone;Stephanie Baranowski;Feminino;22:01:39;4;6000,0;Boleto
2025-10-04;766;São Paulo;Aline Maria;Tablet;Linda Gainey;Feminino;05:07:44;3;3600,0;Pix
2025-10-04;1313;Belo Horizonte;Fernando Alves;Fone de Ouvido;Stuart Mccann;Feminino;22:11:48;1;250,0;Pix
2025-10-04;1806;Salvador;Juliana Santos;Tablet;Joyce Schutz;Masculino;13:04:51;2;2400,0;Dinheiro
2025-10-05;129;Salvador;Thiago Pereira;Smartwatch;Paula Gomez;Masculino;19:34:40;2;1600,0;Cartão de Crédito
2025-10-05;195;Rio de Janeiro;Bruno Costa;Notebook;Mike Scoggins;Feminino;03:56:40;4;14000,0;Dinheiro
2025-10-05;492;Porto Alegre;Mariana Lima;Smartwatch;Kyle Wishart;Feminino;03:00:42;1;800,0;Boleto
2025-10-05;505;Porto Alegre;Rafael Oliveira;Tablet;Isaac Henry;Feminino;00:34:42;4;4800,0;Dinheiro
2025-10-05;601;São Paulo;Aline Maria;Notebook;Lillian Saling;Feminino;16:50:42;5;17500,0;Pix
2025-10-05;715;Rio de Janeiro;Bruno Costa;Tablet;Freddie Hamm;Feminino;21:34:43;3;3600,0;Dinheiro
2025-10-05;1484;Salvador;Juliana Santos;Fone de Ouvido;Steven Rule;Masculino;12:58:49;2;500,0;Dinheiro
2025-10-05;1628;Porto Alegre;Rafael Oliveira;Smartwatch;Elmer Steckler;Masculino;23:57:50;4;3200,0;Pix
2025-10-06;725;Salvador;Juliana Santos;Tablet;Richard Cruce;Masculino;19:20:43;4;4800,0;Dinheiro
2025-10-06;1210;São Paulo;Aline Maria;Notebook;Gary Hill;Feminino;04:51:47;1;3500,0;Pix
2025-10-06;1875;Rio de Janeiro;Carla Souza;Smartwatch;Cassie Cantu;Masculino;04:55:51;2;1600,0;Cartão de Crédito
2025-10-06;1915;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Lois Garcia;Masculino;04:46:51;3;750,0;Cartão de Crédito
2025-10-06;1923;Rio de Janeiro;Bruno Costa;Smartphone;William Anderson;Masculino;22:10:51;5;7500,0;Cartão de Crédito
2025-10-07;186;Porto Alegre;Rafael Oliveira;Notebook;Jacqulyn Stanton;Masculino;00:21:40;3;10500,0;Pix
2025-10-07;588;Rio de Janeiro;Carla Souza;Smartphone;Kevin Nugent;Masculino;06:40:42;1;1500,0;Boleto
2025-10-07;1215;Salvador;Juliana Santos;Notebook;Patrick Tucker;Masculino;11:21:47;5;17500,0;Dinheiro
2025-10-07;1317;São Paulo;Aline Maria;Smartphone;Robert Cooke;Masculino;13:16:48;5;7500,0;Pix
2025-10-07;1553;Rio de Janeiro;Carla Souza;Notebook;Pamela Penner;Masculino;19:22:49;3;10500,0;Cartão de Crédito
2025-10-07;1579;Rio de Janeiro;Carla Souza;Smartwatch;Eliza Wright;Masculino;03:30:49;5;4000,0;Boleto
2025-10-07;1768;Belo Horizonte;Fernando Alves;Tablet;Fred Mcnicholas;Masculino;15:59:50;4;4800,0;Boleto
2025-10-08;139;Porto Alegre;Rafael Oliveira;Tablet;Blaine Lewis;Feminino;14:36:40;1;1200,0;Cartão de Crédito
2025-10-08;1012;Salvador;Thiago Pereira;Tablet;Gary Kuehl;Masculino;08:46:45;2;2400,0;Dinheiro
2025-10-08;1102;Rio de Janeiro;Bruno Costa;Tablet;Stephen Dawson;Masculino;14:03:46;1;1200,0;Cartão de Crédito
2025-10-08;1393;Rio de Janeiro;Bruno Costa;Notebook;Lillian Lopez;Feminino;07:16:48;4;14000,0;Boleto
2025-10-08;1419;Rio de Janeiro;Carla Souza;Fone de Ouvido;Mary Anderson;Masculino;00:27:48;2;500,0;Pix
2025-10-08;1910;Porto Alegre;Mariana Lima;Fone de Ouvido;Doris Martinez;Masculino;04:17:51;3;750,0;Boleto
2025-10-09;76;Porto Alegre;Mariana Lima;Notebook;Frank Febres;Masculino;17:18:39;5;17500,0;Dinheiro
2025-10-09;254;Salvador;Juliana Santos;Smartwatch;Dixie Hess;Feminino;12:33:40;3;2400,0;Pix
2025-10-09;742;Porto Alegre;Rafael Oliveira;Notebook;Jose Hays;Feminino;05:23:43;1;3500,0;Cartão de Crédito
2025-10-09;799;São Paulo;Aline Maria;Smartwatch;Richard Davis;Masculino;16:59:44;4;3200,0;Boleto
2025-10-09;846;Porto Alegre;Rafael Oliveira;Tablet;Tony Heston;Feminino;16:18:44;5;6000,0;Dinheiro
2025-10-09;1038;Porto Alegre;Mariana Lima;Smartphone;Robert Hyman;Feminino;09:09:45;5;7500,0;Pix
2025-10-09;1461;Rio de Janeiro;Carla Souza;Notebook;Horace Nixon;Feminino;03:08:49;3;10500,0;Boleto
2025-10-10;563;Salvador;Thiago Pereira;Smartphone;James Parker;Masculino;18:01:42;1;1500,0;Cartão de Crédito
2025-10-10;719;Rio de Janeiro;Bruno Costa;Notebook;Dante Houston;Masculino;05:59:43;1;3500,0;Boleto
2025-10-10;784;Salvador;Thiago Pereira;Tablet;Thomas Snyder;Masculino;17:03:44;5;6000,0;Cartão de Crédito
2025-10-10;1232;Belo Horizonte;Ana Paula;Smartwatch;Vicky Fico;Masculino;15:45:47;3;2400,0;Pix
2025-10-10;1963;Belo Horizonte;Fernando Alves;Fone de Ouvido;Ivan Campbell;Masculino;03:38:52;2;500,0;Cartão de Crédito
2025-10-11;145;São Paulo;Lucas Silva;Notebook;Laurie Barfield;Feminino;03:04:40;3;10500,0;Dinheiro
2025-10-11;1585;Rio de Janeiro;Carla Souza;Notebook;Michele Rose;Masculino;21:42:49;2;7000,0;Dinheiro
2025-10-11;1805;Porto Alegre;Rafael Oliveira;Fone de Ouvido;Michael Osborne;Masculino;06:38:51;3;750,0;Boleto
2025-10-11;1978;Rio de Janeiro;Bruno Costa;Fone de Ouvido;James Jennings;Feminino;17:02:52;2;500,0;Dinheiro
2025-10-12;23;Salvador;Juliana Santos;Smartwatch;Jerry Schuster;Masculino;01:10:39;4;3200,0;Boleto
2025-10-12;265;Rio de Janeiro;Carla Souza;Tablet;Richard Villa;Feminino;02:13:40;2;2400,0;Boleto
2025-10-12;329;Belo Horizonte;Ana Paula;Tablet;Sean Cole;Masculino;10:40:41;4;4800,0;Dinheiro
2025-10-12;388;Rio de Janeiro;Bruno Costa;Notebook;Maryann Cooper;Feminino;06:53:41;4;14000,0;Cartão de Crédito
2025-10-12;479;São Paulo;Lucas Silva;Fone de Ouvido;John Mode;Masculino;13:14:42;1;250,0;Dinheiro
2025-10-12;899;Salvador;Thiago Pereira;Notebook;Gail Brown;Feminino;21:01:44;5;17500,0;Boleto
2025-10-12;904;Porto Alegre;Rafael Oliveira;Notebook;Antonio Mccaskill;Feminino;11:15:44;1;3500,0;Pix
2025-10-13;473;São Paulo;Lucas Silva;Tablet;Tiffany Frerichs;Feminino;05:46:42;1;1200,0;Pix
2025-10-13;714;Rio de Janeiro;Bruno Costa;Smartphone;Tasha Peterson;Feminino;07:05:43;5;7500,0;Dinheiro
2025-10-13;1342;Salvador;Thiago Pereira;Smartphone;James Rowell;Masculino;22:00:48;2;3000,0;Pix
2025-10-13;1411;Salvador;Juliana Santos;Fone de Ouvido;Shamika Sheahan;Feminino;05:02:48;1;250,0;Boleto
2025-10-13;1809;Porto Alegre;Mariana Lima;Smartwatch;Jonathon Aguas;Masculino;02:48:51;2;1600,0;Boleto
2025-10-13;1950;São Paulo;Aline Maria;Smartphone;Gloria Brown;Feminino;08:52:51;1;1500,0;Dinheiro
2025-10-14;312;Porto Alegre;Rafael Oliveira;Smartwatch;Walter Wise;Feminino;20:39:41;5;4000,0;Dinheiro
2025-10-14;639;Rio de Janeiro;Carla Souza;Smartwatch;Ana Haza;Feminino;12:06:43;3;2400,0;Dinheiro
2025-10-14;1233;Belo Horizonte;Ana Paula;Notebook;Carole Bloomer;Masculino;14:02:47;1;3500,0;Cartão de Crédito
2025-10-14;1477;Salvador;Thiago Pereira;Smartwatch;Robert Hiemstra;Masculino;00:11:49;3;2400,0;Pix
2025-10-14;1989;São Paulo;Aline Maria;Fone de Ouvido;Gwen Muniz;Masculino;04:17:52;4;1000,0;Pix
2025-10-15;734;Rio de Janeiro;Bruno Costa;Smartphone;Edna Palmer;Feminino;14:54:43;4;6000,0;Pix
2025-10-15;1763;Belo Horizonte;Ana Paula;Notebook;Robert Brockman;Masculino;20:54:50;3;10500,0;Boleto
2025-10-16;137;São Paulo;Lucas Silva;Tablet;Ann Roach;Feminino;08:24:40;2;2400,0;Dinheiro
2025-10-16;184;Salvador;Thiago Pereira;Tablet;Thresa Malcolm;Masculino;12:06:40;3;3600,0;Cartão de Crédito
2025-10-16;395;Salvador;Thiago Pereira;Tablet;Tabatha Barthelemy;Feminino;19:48:41;3;3600,0;Boleto
2025-10-16;1005;Salvador;Thiago Pereira;Fone de Ouvido;John Mckinney;Feminino;16:33:45;3;750,0;Pix
2025-10-16;1294;São Paulo;Lucas Silva;Smartwatch;Allen Jones;Feminino;13:37:48;1;800,0;Dinheiro
2025-10-16;1344;Porto Alegre;Rafael Oliveira;Smartwatch;Francis Obryant;Masculino;06:28:48;1;800,0;Dinheiro
2025-10-16;1572;Salvador;Juliana Santos;Tablet;Michael Pacini;Feminino;02:35:49;1;1200,0;Cartão de Crédito
2025-10-17;142;São Paulo;Aline Maria;Fone de Ouvido;Meghan Lee;Masculino;16:22:40;5;1250,0;Boleto
2025-10-17;748;São Paulo;Lucas Silva;Fone de Ouvido;David Maher;Masculino;17:15:43;5;1250,0;Boleto
2025-10-17;1109;Rio de Janeiro;Carla Souza;Tablet;David Reid;Masculino;05:43:46;5;6000,0;Cartão de Crédito
2025-10-17;1854;Salvador;Thiago Pereira;Smartphone;Barbara Macqueen;Feminino;15:07:51;2;3000,0;Dinheiro
2025-10-17;1930;Belo Horizonte;Fernando Alves;Smartwatch;Ofelia Dodds;Feminino;12:55:51;1;800,0;Pix
2025-10-17;1944;Belo Horizonte;Fernando Alves;Fone de Ouvido;William Beckman;Feminino;06:32:51;3;750,0;Dinheiro
2025-10-18;14;Porto Alegre;Rafael Oliveira;Smartwatch;William Vaughn;Feminino;15:00:39;1;800,0;Pix
2025-10-18;363;Porto Alegre;Mariana Lima;Smartwatch;Christy Ortiz;Masculino;14:55:41;3;2400,0;Dinheiro
2025-10-18;482;Porto Alegre;Rafael Oliveira;Tablet;Matthew Berkley;Feminino;05:11:42;1;1200,0;Boleto
2025-10-18;1065;São Paulo;Lucas Silva;Smartwatch;Marilyn Blevins;Masculino;03:40:45;2;1600,0;Pix
2025-10-18;1254;Porto Alegre;Mariana Lima;Tablet;Michael Jennings;Masculino;19:54:47;3;3600,0;Boleto
2025-10-18;1892;Porto Alegre;Mariana Lima;Notebook;Michael Cegielski;Feminino;10:20:51;4;14000,0;Cartão de Crédito
2025-10-19;115;Salvador;Thiago Pereira;Notebook;Norma Payne;Feminino;13:21:39;1;3500,0;Cartão de Crédito
2025-10-19;253;Belo Horizonte;Ana Paula;Tablet;Graciela Labelle;Feminino;15:50:40;4;4800,0;Cartão de Crédito
2025-10-19;1036;Porto Alegre;Rafael Oliveira;Notebook;Robert Mitchell;Feminino;23:46:45;1;3500,0;Cartão de Crédito
2025-10-20;185;Belo Horizonte;Ana Paula;Smartphone;Jerilyn Tobias;Masculino;07:40:40;3;4500,0;Dinheiro
2025-10-20;200;Porto Alegre;Mariana Lima;Tablet;Brandon Perez;Masculino;11:26:40;2;2400,0;Boleto
2025-10-20;340;Porto Alegre;Rafael Oliveira;Notebook;Frances Valenzuela;Masculino;23:59:41;4;14000,0;Boleto
2025-10-20;888;Salvador;Juliana Santos;Fone de Ouvido;Benjamin Patterson;Feminino;01:55:44;4;1000,0;Boleto
2025-10-20;1272;Porto Alegre;Mariana Lima;Tablet;Vincent Wilson;Masculino;19:30:47;3;3600,0;Cartão de Crédito
2025-10-20;1320;Belo Horizonte;Ana Paula;Fone de Ouvido;David Giller;Feminino;21:48:48;3;750,0;Pix
2025-10-20;1448;Salvador;Juliana Santos;Fone de Ouvido;Vicki Matheis;Masculino;22:12:49;2;500,0;Pix
2025-10-20;1886;Belo Horizonte;Ana Paula;Smartwatch;Terry Gutierrez;Masculino;13:53:51;2;1600,0;Pix
2025-10-20;1888;Porto Alegre;Rafael Oliveira;Notebook;John Lewis;Feminino;07:38:51;3;10500,0;Pix
2025-10-21;264;São Paulo;Aline Maria;Smartwatch;Wilfred Billingslea;Feminino;00:46:40;5;4000,0;Pix
2025-10-21;272;São Paulo;Lucas Silva;Smartwatch;Willie Mccall;Feminino;23:27:40;5;4000,0;Boleto
2025-10-21;354;São Paulo;Aline Maria;Smartwatch;Chaya Shaw;Feminino;19:34:41;4;3200,0;Pix
2025-10-21;738;Belo Horizonte;Ana Paula;Fone de Ouvido;Shanta Hardt;Feminino;01:27:43;3;750,0;Pix
2025-10-21;909;Belo Horizonte;Fernando Alves;Smartphone;David Jackson;Masculino;17:31:44;2;3000,0;Pix
2025-10-21;1245;Salvador;Juliana Santos;Notebook;Shannon Robare;Masculino;17:04:47;5;17500,0;Pix
2025-10-22;583;Rio de Janeiro;Carla Souza;Tablet;Todd Moreno;Feminino;02:01:42;1;1200,0;Cartão de Crédito
2025-10-22;1058;Belo Horizonte;Fernando Alves;Notebook;Ossie Blaydes;Masculino;11:00:45;1;3500,0;Dinheiro
2025-10-22;1093;Rio de Janeiro;Carla Souza;Notebook;Mark Walk;Masculino;10:16:46;2;7000,0;Cartão de Crédito
2025-10-23;709;São Paulo;Aline Maria;Smartwatch;John Grissom;Masculino;15:56:43;3;2400,0;Dinheiro
2025-10-23;975;Rio de Janeiro;Bruno Costa;Fone de Ouvido;Cynthia Igel;Feminino;21:33:45;5;1250,0;Cartão de Crédito
2025-10-23;1429;Salvador;Juliana Santos;Tablet;Kevin Fernandez;Masculino;14:41:48;3;3600,0;Cartão de Crédito
2025-10-23;1571;Rio de Janeiro;Carla Souza;Smartwatch;Clair Morgan;Feminino;05:45:49;5;4000,0;Cartão de Crédito
2025-10-23;1704;São Paulo;Lucas Silva;Smartwatch;Austin King;Feminino;20:14:50;2;1600,0;Dinheiro
2025-10-24;1947;Porto Alegre;Mariana Lima;Notebook;Scott Hagle;Feminino;01:03:51;5;17500,0;Cartão de Crédito
2025-10-25;72;Salvador;Juliana Santos;Smartwatch;Gerald Gilbert;Feminino;14:36:39;4;3200,0;Cartão de Crédito
2025-10-25;316;Porto Alegre;Rafael Oliveira;Tablet;Teresa Walker;Feminino;08:23:41;1;1200,0;Pix
2025-10-25;843;Rio de Janeiro;Carla Souza;Smartwatch;Robert Johnson;Masculino;22:54:44;2;1600,0;Dinheiro
2025-10-25;965;Porto Alegre;Rafael Oliveira;Smartphone;Mable Davis;Masculino;12:23:45;1;1500,0;Boleto
2025-10-25;1661;São Paulo;Aline Maria;Fone de Ouvido;Andrea Rioux;Feminino;04:57:50;2;500,0;Dinheiro
2025-10-25;1954;Belo Horizonte;Ana Paula;Smartphone;Rose Starling;Feminino;18:50:51;3;4500,0;Pix
2025-10-26;463;Salvador;Thiago Pereira;Tablet;Malcolm Hall;Masculino;12:22:41;2;2400,0;Pix
2025-10-26;464;Belo Horizonte;Fernando Alves;Fone de Ouvido;Phillip Domina;Feminino;04:17:41;1;250,0;Cartão de Crédito
2025-10-26;718;São Paulo;Lucas Silva;Fone de Ouvido;Flora Tomas;Masculino;19:23:43;1;250,0;Dinheiro
2025-10-26;882;São Paulo;Lucas Silva;Smartwatch;Christopher Bartz;Feminino;20:48:44;1;800,0;Dinheiro
2025-10-26;1064;São Paulo;Aline Maria;Notebook;Michael Long;Feminino;11:18:45;5;17500,0;Pix
2025-10-26;1152;São Paulo;Lucas Silva;Fone de Ouvido;Kevin Thompson;Masculino;19:53:46;5;1250,0;Cartão de Crédito
2025-10-26;1193;Rio de Janeiro;Carla Souza;Fone de Ouvido;Kimberly Green;Feminino;02:45:47;1;250,0;Boleto
2025-10-26;1203;São Paulo;Lucas Silva;Smartwatch;Margaret Kovacs;Feminino;21:38:47;2;1600,0;Pix
2025-10-26;1458;Belo Horizonte;Fernando Alves;Notebook;Louis Stark;Masculino;05:44:49;1;3500,0;Boleto
2025-10-26;1919;Belo Horizonte;Ana Paula;Notebook;Tracy Tewell;Masculino;19:58:51;4;14000,0;Dinheiro
2025-10-26;1991;São Paulo;Lucas Silva;Smartphone;Carolyn Sweeney;Masculino;05:14:52;4;6000,0;Cartão de Crédito
2025-10-27;551;Belo Horizonte;Fernando Alves;Fone de Ouvido;Genevie Guess;Masculino;23:18:42;2;500,0;Cartão de Crédito
2025-10-27;869;Belo Horizonte;Ana Paula;Smartwatch;Bethany Reed;Feminino;08:35:44;3;2400,0;Dinheiro
2025-10-27;1454;São Paulo;Aline Maria;Tablet;Robert Barboza;Feminino;23:55:49;5;6000,0;Pix
2025-10-27;1482;Porto Alegre;Mariana Lima;Notebook;Jeannette Valenti;Feminino;09:59:49;5;17500,0;Pix
2025-10-28;1612;São Paulo;Aline Maria;Notebook;Terry Lipscomb;Masculino;03:35:50;5;17500,0;Cartão de Crédito
2025-10-28;1938;Porto Alegre;Rafael Oliveira;Tablet;Russell Roach;Feminino;16:35:51;1;1200,0;Dinheiro
